Review,Sentiment,Rating,sentiment_label,sentiment_score
I expected better quality for the price; not worth it.,Negative,1,NEGATIVE,0.9997665286064148
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,POSITIVE,0.9998183846473694
Handles are uncomfortable and dig into my hands.,Negative,1,NEGATIVE,0.986420750617981
Lightweight and easy to carry during hikes and picnics.,Positive,5,NEGATIVE,0.8562816977500916
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
The material feels flimsy and doesn't seem durable.,Negative,1,NEGATIVE,0.9998069405555725
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,NEGATIVE,0.9992178678512573
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
It's not as spacious as advertised; feels small.,Negative,1,NEGATIVE,0.999652624130249
I appreciate the sustainable materials used; very thoughtful.,Positive,5,POSITIVE,0.9998610019683838
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,POSITIVE,0.9998618364334106
It's not as spacious as advertised; feels small.,Negative,1,NEGATIVE,0.999652624130249
Lightweight and easy to carry during hikes and picnics.,Positive,5,NEGATIVE,0.8562816977500916
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
Lightweight and easy to carry during hikes and picnics.,Positive,5,NEGATIVE,0.8562816977500916
It's not as spacious as advertised; feels small.,Negative,1,NEGATIVE,0.999652624130249
I expected better quality for the price; not worth it.,Negative,1,NEGATIVE,0.9997665286064148
I expected better quality for the price; not worth it.,Negative,1,NEGATIVE,0.9997665286064148
"Color fades after washing, which is a letdown.",Negative,1,NEGATIVE,0.9997802376747131
Handles are uncomfortable and dig into my hands.,Negative,1,NEGATIVE,0.986420750617981
Handles are uncomfortable and dig into my hands.,Negative,1,NEGATIVE,0.986420750617981
The design is simple yet stylish; I get compliments all the time.,Positive,5,POSITIVE,0.9998712539672852
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
The design is simple yet stylish; I get compliments all the time.,Positive,5,POSITIVE,0.9998712539672852
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
The bag tore after just a few uses; very disappointing.,Negative,1,NEGATIVE,0.9997765421867371
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
"Color fades after washing, which is a letdown.",Negative,1,NEGATIVE,0.9997802376747131
The design is simple yet stylish; I get compliments all the time.,Positive,5,POSITIVE,0.9998712539672852
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
The bag tore after just a few uses; very disappointing.,Negative,1,NEGATIVE,0.9997765421867371
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
Durable material that holds up even on rough terrain.,Positive,5,POSITIVE,0.9998339414596558
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,POSITIVE,0.9998618364334106
Handles are uncomfortable and dig into my hands.,Negative,1,NEGATIVE,0.986420750617981
Lightweight and easy to carry during hikes and picnics.,Positive,5,NEGATIVE,0.8562816977500916
The material feels flimsy and doesn't seem durable.,Negative,1,NEGATIVE,0.9998069405555725
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,POSITIVE,0.9998618364334106
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
Durable material that holds up even on rough terrain.,Positive,5,POSITIVE,0.9998339414596558
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
Durable material that holds up even on rough terrain.,Positive,5,POSITIVE,0.9998339414596558
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
"Color fades after washing, which is a letdown.",Negative,1,NEGATIVE,0.9997802376747131
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,POSITIVE,0.9998183846473694
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,POSITIVE,0.9998719692230225
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,POSITIVE,0.9998183846473694
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,NEGATIVE,0.9992178678512573
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
The handles are sturdy and comfortable to hold.,Positive,5,POSITIVE,0.9998464584350586
I appreciate the sustainable materials used; very thoughtful.,Positive,5,POSITIVE,0.9998610019683838
Handles are uncomfortable and dig into my hands.,Negative,1,NEGATIVE,0.986420750617981
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,POSITIVE,0.9998618364334106
The color options are fantastic and match any outfit.,Positive,5,POSITIVE,0.9998723268508911
The bag tore after just a few uses; very disappointing.,Negative,1,NEGATIVE,0.9997765421867371
I expected better quality for the price; not worth it.,Negative,1,NEGATIVE,0.9997665286064148
I expected better quality for the price; not worth it.,Negative,1,NEGATIVE,0.9997665286064148
"Color fades after washing, which is a letdown.",Negative,1,NEGATIVE,0.9997802376747131
"Color fades after washing, which is a letdown.",Negative,1,NEGATIVE,0.9997802376747131
The stitching came undone after a week of use.,Negative,1,NEGATIVE,0.9991468191146851
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,NEGATIVE,0.9852597713470459
The bag tore after just a few uses; very disappointing.,Negative,1,NEGATIVE,0.9997765421867371
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,POSITIVE,0.9998719692230225
The bag tore after just a few uses; very disappointing.,Negative,1,NEGATIVE,0.9997765421867371
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,NEGATIVE,0.9992178678512573
Great for carrying all my gear without feeling heavy.,Positive,5,POSITIVE,0.99978107213974
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,POSITIVE,0.9998618364334106
The design is bland and lacks personality.,Negative,1,NEGATIVE,0.9998195767402649
